"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"out/22";"set/22";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"Competência";"Data de atualização"
"UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA (343731)";"Médico Hospitalar";"Grande";"6";"6";"  12,39";"  13,68";"  13,30";"  12,59";"  12,38";"  10,97";"   10,15";"    9,83";"   9,68";"  11,18";"  11,33";"  11,62";"202210";"15/11/2022 05:40:45"
"UNIVIDA USA OPERADORA EM SAUDE S/A (422134)";"Médico Hospitalar";"Pequeno";"177";"";"0,00";"";"";"";"";"";"";"";"";"";"";"";"202210";"15/11/2022 05:40:45"
"UNIX SAÚDE S.A (418137)";"Médico Hospitalar";"Pequeno";"85";"59";"   3,44";"   7,70";"   7,69";"   4,27";"   0,86";"   4,28";"    7,75";"   12,94";"  14,63";"  15,42";"  19,62";"  24,70";"202210";"15/11/2022 05:40:45"
"VALE S/A (345695)";"Médico Hospitalar";"Grande";"82";"85";"   1,04";"   1,04";"   0,87";"   0,87";"   0,87";"   0,92";"    0,81";"    0,91";"   0,85";"   0,79";"   0,58";"   0,79";"202210";"15/11/2022 05:40:45"
"VIDA TOP MAIS SAÚDE OPERADORA DE PLANOS DE SAÚDE LTDA. (422835)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"   4,78";"   4,87";"   5,87";"0,00";"0,00";"";"";"";"";"202210";"15/11/2022 05:40:45"
"VIDAPLAN SAÚDE LTDA. - EPP (344443)";"Médico Hospitalar";"Pequeno";"40";"46";"  13,72";"  12,78";"  12,02";"0,00";"  11,50";"  33,87";"   33,42";"   55,49";" 261,44";" 331,31";" 407,85";"  24,00";"202210";"15/11/2022 05:40:45"
"VISION MED ASSISTÊNCIA MÉDICA LTDA (403911)";"Médico Hospitalar";"Grande";"4";"8";"  13,44";"  13,28";"   8,32";"   8,03";"   8,61";"   9,13";"    9,03";"    9,85";"   9,61";"  10,55";"  10,42";"  11,70";"202210";"15/11/2022 05:40:45"
"VITA ASSISTÊNCIA A SAÚDE LTDA. (414905)";"Médico Hospitalar";"Pequeno";"110";"158";"   2,19";"   1,11";"   1,69";"   1,13";"   2,91";"   2,39";"    1,85";"    0,63";"   0,64";"   0,65";"0,00";"   0,72";"202210";"15/11/2022 05:40:45"
"VIVA PLANOS DE SAUDE LTDA (421995)";"Médico Hospitalar";"Pequeno";"12";"11";"  46,79";"  61,93";"  52,77";"  47,12";"  44,55";"  43,33";"   38,31";"   27,35";"  30,73";"  27,58";"  70,33";"  74,50";"202210";"15/11/2022 05:40:45"
"VIVACOM PLANOS DE SAÚDE (361461)";"Médico Hospitalar";"Pequeno";"168";"197";"   0,67";"0,00";"0,00";"   0,66";"   1,97";"   3,28";"    3,28";"    3,27";"   3,92";"   3,25";"   1,94";"   1,93";"202210";"15/11/2022 05:40:45"
"VOCÊ TOTAL PLANOS DE SAÚDE LIMITADA (422487)";"Médico Hospitalar";"Pequeno";"17";"28";"  32,65";"  24,49";"  24,49";"   8,16";"  16,33";"  24,49";"   57,14";"  106,12";" 134,58";" 170,87";"";"";"202210";"15/11/2022 05:40:45"
"VOLVO DO BRASIL VEÍCULOS LTDA. (414247)";"Médico Hospitalar";"Pequeno";"177";"197";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    0,82";"   0,83";"   0,83";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"YOU ASSISTÊNCIA MÉDICA LTDA. (422380)";"Médico Hospitalar";"Médio";"3";"3";"  50,85";"  63,02";"  37,58";"  26,13";"  24,93";"  38,46";"   47,22";"   64,43";"  56,37";"  43,52";"  10,49";"   9,62";"202210";"15/11/2022 05:40:45"
"2CARE OPERADORA DE SAÚDE LTDA. (421421)";"Médico Hospitalar";"Médio";"104";"126";"   1,79";"   1,44";"   2,54";"   2,18";"   2,18";"   1,09";"    2,55";"    3,28";"   3,28";"   1,46";"   1,09";"   1,46";"202210";"15/11/2022 05:40:45"
"AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP (413283)";"Odontológica";"Médio";"17";"11";"   0,12";"   0,24";"   0,25";"   0,13";"0,00";"0,00";"    0,13";"    0,13";"   0,14";"   0,14";"   0,14";"   0,14";"202210";"15/11/2022 05:40:45"
"ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA (423262)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"202210";"15/11/2022 05:40:45"
"ÁPICE ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA (400882)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ARM ODONTOLOGIA LTDA. (352152)";"Odontológica";"Pequeno";"5";"3";"   0,57";"   0,57";"   0,56";"0,00";"0,00";"   0,55";"    0,54";"    0,54";"0,00";"0,00";"0,00";"   1,07";"202210";"15/11/2022 05:40:45"
"ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA (365297)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,77";"202210";"15/11/2022 05:40:45"
"ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA (417220)";"Odontológica";"Médio";"7";"7";"   0,29";"   0,29";"   0,29";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS (336874)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA. (417874)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"BIORAL SISTEMA ODONTOLÓGICO LTDA. (419079)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,16";"    0,16";"    0,16";"0,00";"   0,16";"   0,16";"   0,16";"202210";"15/11/2022 05:40:45"
"BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA (421561)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A. (419419)";"Odontológica";"Grande";"2";"2";"   0,32";"   0,48";"   0,58";"   0,50";"   0,40";"   0,30";"    0,33";"    0,41";"   0,48";"   0,48";"   0,40";"   0,34";"202210";"15/11/2022 05:40:45"
"CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP (415952)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CENTRO ODONTOLOGICO INTEGRADO EIRELI (314757)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CEORP - CENTRO ODONTOLOGICO LTDA (401871)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CLINICA ODONTOLOGICA ODONTOPLAN LTDA (410071)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA (405931)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL (353477)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA DE SAÚDE ODONTOLÓGICA - UNIODONTO RORAIMA (418242)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ (419028)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE (359459)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU (400572)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA NOVODENTE LTDA (417840)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL. (342335)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,56";"    1,56";"    1,55";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ (365785)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS (409791)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO (402010)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA. (353892)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO (407241)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA (368181)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CROWN ODONTOLOGIA DE GRUPO  LTDA (397245)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"CRZ PLANO ODONTOLÓGICO LTDA (421952)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"DELFHI PLANOS ODONTOLÓGICOS LTDA (421081)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,65";"   1,63";"   1,60";"   1,58";"202210";"15/11/2022 05:40:45"
"DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA (420239)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"DENTAL CARE CLINICA ODONTOLOGICA LTDA (386219)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"DENTAL CENTER LTDA (339458)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,20";"   0,20";"   0,40";"   0,20";"202210";"15/11/2022 05:40:45"
"DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA. (300730)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,24";"    0,24";"    0,24";"0,00";"0,00";"0,00";"   0,24";"202210";"15/11/2022 05:40:45"
"DENTAL MASTER LTDA - EPP (413747)";"Odontológica";"Médio";"1";"2";"   0,46";"   0,46";"   0,93";"   0,46";"   1,39";"   0,93";"    0,93";"    0,47";"   0,94";"   1,41";"   0,95";"   0,48";"202210";"15/11/2022 05:40:45"
"DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA. (314366)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"0,00";"   0,80";"   0,81";"   1,02";"    0,20";"    0,20";"0,00";"0,00";"   0,20";"   0,20";"202210";"15/11/2022 05:40:45"
"DENTAL UNI - COOPERATIVA ODONTOLÓGICA (304484)";"Odontológica";"Grande";"5";"5";"   0,23";"   0,27";"   0,29";"   0,26";"   0,36";"   0,46";"    0,51";"    0,47";"   0,45";"   0,52";"   0,71";"   0,76";"202210";"15/11/2022 05:40:45"
"DENTAL WHITE PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA (423050)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"202210";"15/11/2022 05:40:45"
"DENTALMASTER COMÉRCIO DE PLANOS ODONTOLÓGICOS LTDA (401463)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"DENTALMASTER LTDA (422975)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"202210";"15/11/2022 05:40:45"
"DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA (333620)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA. (322890)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"   0,52";"   0,54";"   0,55";"   0,29";"    0,58";"    0,88";"   0,86";"   0,84";"   0,83";"   0,81";"202210";"15/11/2022 05:40:45"
"DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA (416908)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"DENTALSHOW ASSISTÊNCIA ODONTOLÓGICA LTDA. (361038)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS LTDA (327867)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"DENTSY ODONTOLOGIA S/S LTDA. (414425)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"E F SOBRINHO EIRELI - ME (420778)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA (415626)";"Odontológica";"Grande";"17";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"    0,10";"   0,10";"   0,10";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"FEDERAÇÃO DAS UNIODONTOS DO ESTADO DE MINAS GERAIS (344583)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   23,89";"   15,70";"  11,61";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"FR PLANO ODONTOLÓGICO LTDA (419818)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"IDEAL ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA. (414921)";"Odontológica";"Pequeno";"1";"1";"   1,03";"   1,04";"   1,07";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,54";"   1,57";"202210";"15/11/2022 05:40:45"
"IDENTAL ASSISTÊNCIA ODONTOLÓGICA LTDA - ME (414557)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"INSTITUTO DE ODONTOLOGIA DO MARANHÃO LTDA. (414981)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA ODONTOLÓGICA LTDA (389358)";"Odontológica";"Grande";"13";"14";"   0,07";"   0,07";"0,00";"   0,07";"   0,21";"   0,21";"    0,14";"    0,04";"   0,04";"   0,18";"   0,18";"   0,21";"202210";"15/11/2022 05:40:45"
"INSTITUTO DE SAÚDE ODONTOLÓGICA - ISODONT LTDA (415260)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"INTEGRAL SERVIÇOS ODONTOLÓGICOS LTDA. (359394)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"J.E. ODONTOQUALITY S/S LTDA (418536)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"LIODONTO PLANOS DE ASSISTENCIA E SERVICOS ODONTOLOGICOS EIRELI (422851)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"MACIEL & MACIEL ASSISTÊNCIA ODONTOLÓGICA LTDA (416835)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"MAIS DENTAL PLANOS ODONTOLOGICOS LTDA (349291)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"MAIS SAÚDE PLANOS MÉDICOS E ODONTOLÓGICOS LTDA  (420051)";"Odontológica";"Médio";"4";"5";"   0,32";"   0,33";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"MATTOS ODONTOLOGIA LTDA (329967)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"MED LIFE OPERADORA ODONTOLÓGICA LTDA (421880)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"   7,60";"    8,98";"   12,79";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"METLIFE PLANOS ODONTOLÓGICOS LTDA. (406481)";"Odontológica";"Grande";"8";"6";"   0,17";"   0,22";"   0,22";"   0,16";"   0,12";"   0,17";"    0,18";"    0,20";"   0,17";"   0,24";"   0,25";"   0,36";"202210";"15/11/2022 05:40:45"
"MULTI - BUCAL ODONTOLOGIA LTDA - EPP (351351)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA. (304441)";"Odontológica";"Grande";"10";"12";"   0,13";"   0,14";"   0,14";"0,00";"0,00";"   0,05";"    0,10";"    0,15";"   0,15";"   0,10";"   0,10";"   0,05";"202210";"15/11/2022 05:40:45"
"NEWKLIN ODONTOCLÍNICA LTDA. ME. (415057)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"NOVA ODONTO LTDA. (422665)";"Odontológica";"Médio";"22";"22";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ODONTO ALEGRE CLINICAS E PLANOS ODONTOLOGICOS LTDA (421464)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"202210";"15/11/2022 05:40:45"
"ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA. (310981)";"Odontológica";"Grande";"4";"4";"   0,29";"   0,32";"   0,35";"   0,48";"   0,54";"   0,59";"    0,49";"    0,45";"   0,36";"   0,30";"   0,37";"   0,25";"202210";"15/11/2022 05:40:45"
"ODONTO JARAGUÁ LTDA (312321)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ODONTO LIFE ASSISTÊNCIA ODONTOLÓGICA S/A. (406414)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"202210";"15/11/2022 05:40:45"
"ODONTO MAIS SAUDE EMPREENDIMENTOS LTDA. (422622)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ODONTO PLUS CONVENIO ODONTOLOGICO SOCIEDADE SIMPLES LTDA (405671)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ODONTO PRIME PLANOS ODONTOLÓGICOS LTDA ME (420212)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ODONTO PRIME S/S LTDA (418994)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,12";"   1,13";"202210";"15/11/2022 05:40:45"
"ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS LTDA. (419281)";"Odontológica";"Médio";"18";"19";"   0,12";"   0,12";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,15";"   0,16";"   0,17";"202210";"15/11/2022 05:40:45"
"ODONTOART PLANOS ODONTOLÓGICOS LTDA (414387)";"Odontológica";"Grande";"9";"7";"   0,14";"   0,21";"   0,21";"   0,07";"0,00";"0,00";"0,00";"0,00";"   0,15";"   0,30";"   0,38";"   0,30";"202210";"15/11/2022 05:40:45"
"ODONTOBASE PLANOS DE SAUDE LTDA. (344486)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ODONTOCEL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA - ME (421596)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ODONTOCLINICA RCC LTDA. S/S (418111)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202210";"15/11/2022 05:40:45"
"ODONTOCOOP - OPERADORA DE PLANOS DE SAÚDE LTDA (422924)";"Odontológica";"Pequeno";"6";"4";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"202210";"15/11/2022 05:40:45"
"ODONTOGROUP SISTEMA DE SAÚDE LTDA. (389854)";"Odontológica";"Grande";"6";"8";"   0,20";"   0,20";"   0,21";"   0,22";"   0,33";"   0,45";"    0,45";"    0,55";"   0,89";"   0,89";"   1,00";"   0,44";"202210";"15/11/2022 05:40:45"
